FID,TitleAr,TitleEn,BrandAR,BrandEN,CateguryAR,CateguryEN,min_price,max_price,price_spread,stores_count,price_rows,cheapest_price,cheapest_store_key,cheapest_store_name_ar,cheapest_store_name_en,cheapest_sid,cheapest_rid
2,مايونيز الأصلي 473 مل,Original Mayonnaise -  473 Ml,قودي,Goody,الصلصات والشطة,Sauces,16.95,20.5,3.5500000000000007,6,6,16.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
4,مايونيز الأصلي 237 مل,Original Mayonnaise -  237 Ml,قودي,Goody,الصلصات والشطة,Sauces,11.5,14.5,3.0,6,6,11.5,1,الملقا V152,Al Malqa V152,20,1
5,مايونيز الأصلي 491 مل,Original Mayonnaise -  491 Ml,قودي,Goody,الصلصات والشطة,Sauces,13.5,19.0,5.5,2,2,13.5,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
6,لايت مايونيز 473 مل,Lite Mayonnaise -  473 Ml,قودي,Goody,الصلصات والشطة,Sauces,14.99,21.99,6.999999999999998,4,4,14.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
9,الصلصه الفرنسية 473 مل,French Salad Dressing -  473 Ml,فرشلي,Freshly,الصلصات والشطة,Sauces,16.5,23.0,6.5,6,6,16.5,1,الملقا V152,Al Malqa V152,20,1
10,الصلصه الفرنسية 237 مل,French Salad Dressing - 237 Ml,فرشلي,Freshly,الصلصات والشطة,Sauces,10.5,16.0,5.5,2,2,10.5,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
11,صلصة رانش 237 مل,Ranch Salad Dressing - 237 Ml,فرشلي,Freshly,الصلصات والشطة,Sauces,12.5,12.5,0.0,1,1,12.5,4,النفل,An Nafal - Riyadh,4,4
12,صلصة رانش 473 مل,Ranch Salad Dressing -  473 Ml,فرشلي,Freshly,الصلصات والشطة,Sauces,16.3,23.99,7.689999999999998,5,5,16.3,4,النفل,An Nafal - Riyadh,4,4
13,تتبيلة 200 مل,Seasoning -  200 Ml,ماجي,Maggi,الصلصات والشطة,Sauces,11.25,15.5,4.25,5,5,11.25,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
15,مايونيز الأصلي -  940 مل,Creamy Classic Mayonnaise -  940 Ml,هاينز,Heinz,الصلصات والشطة,Sauces,21.95,29.75,7.800000000000001,4,4,21.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
